POS,EFACTOR,ONE,TWO,THREE,FOUR,FIVE
1B,0,0,0.585167625,2.726881133,6.425140523,11.6799458
1B,1,0.020027362,0.808878671,3.161204247,7.041279607,12.44910475
1B,2,0.080109448,1.068638968,3.627571141,7.685456998,13.24229654
1B,3,0.195185587,1.404811625,4.191768699,8.448883359,14.17615561
1B,4,0.340356897,1.741152224,4.726206972,9.152623207,15.02040093
1B,5,0.475785167,2.017580436,5.148840778,9.69982662,15.67053796
1B,6,0.692379111,2.419313225,5.742678247,10.45681701,16.56172953
1B,7,0.947971553,2.855032842,6.365453425,11.23785165,17.47222753
1B,8,1.284819785,3.392497369,7.11050008,12.16152869,18.54558318
1B,9,1.625826218,3.905089579,7.801606452,13.00235312,19.50732958
1B,10,2.006887376,4.453731041,8.524756603,13.87121586,20.49310882
1B,11,2.428003257,5.038421754,9.279950533,14.76811691,21.50292088
1B,12,2.889173862,5.659161719,10.06718824,15.69305626,22.53676578
1B,13,3.453951907,6.40006609,10.99114732,16.77127396,23.74044599
1B,14,3.860643406,6.920631209,11.63079171,17.50836163,24.55334096
1B,15,4.436998407,7.64503713,12.51017694,18.51393006,25.6562965
1B,16,5.053408131,8.405492302,13.42160594,19.5475368,26.78328487
1B,17,5.713529877,9.206400112,14.37026565,20.61499666,27.94059312
1B,18,6.410265561,10.03914865,15.34595543,21.70483157,29.11577707
1B,19,7.239276047,11.01786222,16.48130046,22.96801197,30.47799674
1B,20,8.021100956,11.92719105,17.52506161,24.11740934,31.70423423
1B,21,8.842980588,12.87256914,18.60086654,25.29484501,32.95450454
1B,22,9.704914945,13.85399648,19.70871526,26.50031899,34.2288077
1B,23,10.3788841,14.61511149,20.56218177,27.42450102,35.20206926
1B,24,11.42684909,15.79088412,21.87269041,28.84094958,36.69566164
1B,25,12.40396785,16.87597742,23.07268664,30.12705264,38.03907543
1B,26,13.42114132,17.99711996,24.30472664,31.44119401,39.40652205
1B,27,14.2117496,18.86321018,25.25150445,32.44702342,40.44976708
1B,28,15.30505923,20.05398709,26.54671448,33.8177148,41.86698807
1B,29,16.86939955,21.74733814,28.37776483,35.7503526,43.86510144
1B,30,18.05231298,23.01764665,29.7423968,37.18051193,45.33199203
2B,0,0,1.755502875,8.180643398,19.27542157,35.03983739
2B,4,0.112329362,2.707842645,9.99894693,21.85182023,38.26646255
2B,5,0.210449685,3.106348293,10.70828666,22.82856641,39.46718755
2B,6,0.270207003,3.313560831,11.06812261,23.31954545,40.06782935
2B,8,0.413714096,3.752914573,11.81377176,24.32806237,41.2957864
2B,10,0.68481465,4.46053338,12.97352577,25.87504363,43.16508694
2B,11,0.789470709,4.708154785,13.36928072,26.39745179,43.79266799
2B,12,0.961418705,5.102183023,13.99066976,27.22425432,44.80293672
2B,13,1.215791071,5.637980055,14.81822786,28.30061282,46.08513495
2B,14,1.357210872,5.922024283,15.25017706,28.85851971,46.74705223
2B,15,1.65648198,6.498230182,16.11365416,29.96630733,48.0561897
2B,16,1.820839181,6.80291807,16.56395328,30.5402704,48.73186942
2B,17,1.989209462,7.107882274,17.01067961,31.10727852,49.39767899
2B,18,2.165009031,7.419532838,17.46334937,31.67948714,50.06794614
2B,19,2.543123284,8.070033023,18.39668424,32.85222906,51.4366675
2B,20,2.838598995,8.570145247,19.10660118,33.75047038,52.50175286
2B,21,3.047991867,8.912029783,19.58614558,34.34619431,53.19217599
2B,22,3.494023015,9.623655174,20.57381396,35.56647807,54.60164748
2B,23,3.725865258,9.985744144,21.07131786,36.17791656,55.30554023
2B,24,3.965136789,10.35451947,21.57476519,36.79455555,56.01389056
2B,25,4.217283178,10.73821763,22.09529567,37.42997105,56.74224378
2B,26,4.733295693,11.5094908,23.13216588,38.68947765,58.18142611
2B,27,5.002445883,11.90515692,23.65951614,39.32703171,58.90770363
2B,28,5.413560079,12.50934378,24.46194386,40.30621996,60.04217208
2B,29,6.002935059,13.34997862,25.56428732,41.6268444,61.53764987
2B,30,6.305678552,13.77587871,26.11851221,42.28791377,62.28408337
2B,32,6.940440303,14.65736165,27.25716508,43.64030894,63.80679323
2B,34,7.94578169,16.0257972,29.00431177,45.70125879,66.11663826
2B,37,9.568484283,18.18404193,31.71888378,48.88576979,69.68469996
2B,39,10.74317201,19.7048892,33.60150753,51.06526207,72.09615281
2B,41,11.55797111,20.74507029,34.87740702,52.53391929,73.71460709
2B,44,13.51379618,23.2082162,37.86877128,55.96664664,77.50184227
2B,47,15.37828945,25.5033194,40.61526958,59.07815172,80.89196584
2B,50,17.36294689,27.90657036,43.4578992,62.27377172,84.35418792
2B,53,19.72569401,30.73085516,46.76450684,65.9763139,88.36627634
2B,56,21.97805335,33.37837329,49.82808125,69.36908934,92.00139755
2B,59,24.01174024,35.74973747,52.55262733,72.38237632,95.23898443
2B,62,26.47705437,38.58557945,55.77978231,75.914456,98.98960052
2B,65,29.07683475,41.54577651,59.12129356,79.55042617,102.8331744
2B,68,32.11926694,44.98353337,62.97516025,83.7340144,107.2600958
2B,71,34.97667439,48.1755948,66.52277315,87.55032352,111.2582459
3B,0,0,0.877751438,4.090321699,9.637710784,17.51991869
3B,5,0.391549117,2.356125187,6.689338088,13.21681372,21.93855208
3B,6,0.572364157,2.750672878,7.305426906,14.02198968,22.90036121
3B,8,0.987122778,3.549577308,8.501453824,15.56120477,24.72883016
3B,10,1.51421076,4.449578165,9.787344231,17.17905042,26.62469672
3B,11,1.910867513,5.081305442,10.66200669,18.26396059,27.88716714
3B,12,2.157649085,5.456839808,11.17146205,18.88585661,28.60002349
3B,13,2.622240287,6.147162611,12.09532493,20.01080558,29.89360458
3B,14,2.913254388,6.56417398,12.64355794,20.66854643,30.63913944
3B,15,3.445942425,7.314116207,13.61850666,21.83628114,31.96743964
3B,16,3.778425014,7.768449216,14.19991446,22.52304992,32.73785559
3B,17,4.38770213,8.589867093,15.24128158,23.75191229,34.12175924
3B,18,4.952596623,9.330086291,16.16463396,24.82594387,35.31401604
3B,19,5.441100408,9.965214942,16.95161185,25.7430572,36.33955097
3B,20,6.063585928,10.75559834,17.91764542,26.85252044,37.5602234
3B,21,6.602885189,11.43644292,18.7452597,27.8051906,38.61623562
3B,22,7.291983265,12.28844534,19.76797495,28.96616469,39.88301457
3B,23,8.129603907,13.31537239,20.99201688,30.35486753,41.40392433
3B,24,8.63612354,13.92633874,21.71265432,31.16346224,42.27876251
3B,25,9.537207366,15.00783718,22.98231967,32.589074,43.82810018
3B,26,10.08519549,15.65612516,23.7361319,33.42669666,44.72781945
3B,27,11.06339768,16.80869786,25.07088357,34.91117333,46.32956713
3B,28,12.08020074,17.99434361,26.43312431,36.41778856,47.94833635
3B,29,12.69610576,18.7037568,27.24127006,37.30295304,48.88880576
3B,30,13.79392704,19.96486442,28.6734725,38.87379633,50.5658359
3B,31,14.45154544,20.71181966,29.51498896,39.78816018,51.53133334
3B,32,15.61791033,22.03373878,31.00027079,41.40435074,53.24597864
3B,33,16.66095816,23.20262826,32.30275421,42.8082076,54.71898845
3B,34,17.54723256,24.19575047,33.4079486,44.00376036,55.98318576
3B,35,18.6599405,25.42900177,34.76955174,45.46126135,57.50413063
3B,37,20.77604737,27.7616651,37.33180438,48.19893552,60.36305852
3B,39,22.99265677,30.18223524,39.96931193,50.99944616,63.27263794
3B,41,25.32159554,32.7039018,42.69668296,53.87858736,66.24961497
3B,44,29.38567335,37.0619297,47.36950228,58.77957632,71.2921518
3B,47,33.50801366,41.42947181,52.00303134,63.59270403,76.19848987
3B,50,38.16045177,46.31702398,57.1465389,68.90554521,81.59404288
3B,53,42.27461496,50.60049119,61.61751121,73.48837446,86.21308097
3B,56,47.46873454,55.97388897,67.19097232,79.17551062,91.92750387
3B,59,52.95737221,61.61147526,72.99829239,85.06617618,97.81512661
3B,62,59.12314245,67.89648751,79.42597208,91.53916135,104.2360553
3B,65,63.84751317,72.69368034,84.31160399,96.44832438,109.1038415
SS,0,0,2.048086688,9.544083964,22.48799183,40.87981028
SS,4,0.16,2.79,10.98,24.53,44.0
SS,7,0.315241503,3.865820969,12.91280972,27.20613636,46.7458009
SS,8,0.482666445,4.378400335,13.78273372,28.38273943,48.17841747
SS,10,0.629848099,4.790018039,14.46494812,29.30994534,49.32500972
SS,12,0.739039793,5.06729334,14.91633659,29.9103866,50.04944338
SS,14,1.335516367,6.418236715,17.04599611,32.71797593,53.43417616
SS,16,1.658286637,7.06673551,18.03228257,33.99192927,54.9456756
SS,17,1.836560294,7.410075944,18.54685042,34.65211936,55.72588275
SS,18,2.01980261,7.753996804,19.0574794,35.30439606,56.49474679
SS,19,2.211712429,8.105718418,19.57504237,35.96274001,57.26881132
SS,20,2.416746387,8.473143121,20.11101847,36.64166231,58.06507465
SS,21,2.626179636,8.840635822,20.64260018,37.31227266,58.84965324
SS,22,2.948949906,9.404343828,21.4532755,38.34485489,60.079082
SS,23,3.42513006,10.19480289,22.57020367,39.7375866,61.69695169
SS,24,3.673755496,10.59756855,23.13313914,40.43563148,62.50504559
SS,25,3.931048434,11.00813497,23.70300861,41.13974361,63.31834
SS,26,4.197008875,11.42650215,24.27981208,41.849923,64.1368349
SS,27,4.477703252,11.86202123,24.87631651,42.58180759,64.97849449
SS,28,4.896381325,12.51204626,25.76371806,43.68152528,66.26546793
SS,29,5.19286645,12.95788565,26.36494128,44.41307195,67.10227764
SS,30,5.498019078,13.41152579,26.9730985,45.15068586,67.94428786
SS,31,5.818757645,13.88308464,27.60163829,45.91060139,68.80997396
SS,32,6.472777263,14.82970785,28.85292422,47.41642928,70.52022301
SS,33,6.985169639,15.5700152,29.8273072,48.59928269,71.8859417
SS,34,7.338464593,16.06698344,30.47397828,49.37059624,72.75683731
SS,36,8.079210441,17.09555162,31.80255901,50.94852394,74.53344642
SS,38,8.855384094,18.15600482,33.15948198,52.5512511,76.33131221
SS,40,9.849980047,19.50335872,34.87165295,54.57811839,78.62275502
SS,42,11.14159158,21.2067088,37.00496135,57.06565914,81.38880218
SS,44,12.03999709,22.37327931,38.451756,58.74255715,83.24568277
SS,48,14.18262961,25.11576303,41.81834027,62.63245563,87.55810912
SS,52,17.07010209,28.71743632,46.16475543,67.59667635,93.01319907
SS,56,19.33362702,31.47451123,49.43962966,71.28856355,97.02131291
SS,60,22.64903288,35.45149374,54.10846774,76.52341046,102.6963219
SS,64,25.55490334,38.8808916,58.08564236,80.94757549,107.466691
SS,68,29.01521543,42.89407773,62.68198144,86.00122079,112.8517958
SS,72,32.31684177,46.68559535,66.98777075,90.71995067,117.8821351
SS,76,35.77085599,50.60832261,71.4034604,95.52781635,122.9813905
SS,80,39.86290042,55.19395921,76.51309916,101.0350657,128.759859
SS,84,43.67066633,59.43117162,81.20387634,106.0791661,134.057041
SS,88,48.60733761,64.87118437,87.17764056,112.4602903,140.7191336
OF,0,0,2.045160849,9.058394835,29.99569246,59.90653561
OF,1,0.035074947,2.573767049,10.04275094,31.5082706,61.70668531
OF,2,0.140896076,3.164544179,11.0804985,33.05835714,63.5309072
OF,3,0.33153491,3.86575625,12.25450246,34.78898644,65.5718307
OF,4,0.5259077,4.433164096,13.16676252,36.10341729,67.10729095
OF,5,0.8564133,5.253262917,14.43867321,37.89698663,69.18318114
OF,6,1.238387904,6.076733825,15.66585908,39.56566962,71.07005576
OF,7,1.658950217,6.894664396,16.84317233,41.10934228,72.77108012
OF,8,2.257888006,7.987099323,18.39111883,43.18386298,75.13112434
OF,9,2.899737893,9.071840787,19.88097052,45.11753726,77.28485061
OF,10,3.474800259,9.977805409,21.08005605,46.5737965,78.81184275
OF,11,4.058646575,10.87918018,22.27057221,48.07238147,80.45544578
OF,12,5.133856976,12.46925617,24.32813393,50.61894671,83.22390892
OF,13,6.076192194,13.80649574,26.02270073,52.67894834,85.44198212
OF,14,6.773315259,14.76377918,27.21175748,54.08046044,86.9120215
OF,15,7.788071993,16.12715157,28.88575997,56.039568,88.96347729
OF,16,8.868805791,17.5445678,30.60207727,58.02269263,91.02504171
OF,17,10.10195001,19.13190944,32.50583499,60.22244935,93.32659156
OF,18,11.32796337,20.6728133,34.32384799,62.27094978,95.42447586
OF,19,12.70862659,22.38263167,36.32524439,64.52819902,97.75213107
OF,20,14.0855266,24.05382584,38.25274716,66.65027105,99.89412267
OF,21,15.6290408,25.90498197,40.37376387,68.98969427,102.273265
OF,22,17.14550504,27.69276907,42.39509248,71.16889759,104.443762
OF,23,18.30348155,29.04177794,43.90674665,72.77779374,106.0290148
OF,24,20.05492629,31.06879728,46.17155924,75.20756728,108.455751
OF,25,21.89902237,33.17836244,48.5086079,77.69114338,110.9208132
CF,0,0,3.067741274,13.58759225,44.99353869,89.85980341
CF,1,0.033918071,3.704229738,14.78407051,46.86258301,92.1147451
CF,2,0.084348402,4.088721646,15.47444115,47.89016864,93.31139549
CF,3,0.210449685,4.74300099,16.61431796,49.57862429,95.28655873
CF,4,0.338530297,5.2571155,17.48597719,50.87173258,96.81502439
CF,5,0.587059472,6.076023402,18.83268322,52.8373519,99.12361886
CF,6,0.788861549,6.649746143,19.75014378,54.15512593,100.6609364
CF,7,1.116491929,7.47532522,21.03109095,55.93426968,102.6864819
CF,8,1.539979787,8.442948004,22.50026806,57.97862041,105.0388161
CF,9,1.857581856,9.115100738,23.49878862,59.34850443,106.6050836
CF,10,2.299624502,9.980420406,24.74449837,60.96557151,108.3659864
CF,11,2.892824723,11.0922987,26.33247413,63.0862928,110.7607487
CF,12,3.380694772,11.96974406,27.57131197,64.75486853,112.6724075
CF,13,4.092242219,13.1822175,29.24213079,66.92884607,115.0967565
CF,14,4.600502433,14.01642965,30.37411205,68.38452626,116.7106886
CF,15,5.204561317,14.95452664,31.60366653,69.83909298,118.1931096
CF,16,5.782589605,15.8524133,32.79292238,71.33950535,119.8406453
CF,17,6.703135814,17.24253568,34.61004034,73.60753234,122.3172441
CF,18,7.691518164,18.69031878,36.47464359,75.90608559,124.8108018
CF,19,8.291433184,19.54187267,37.54965351,77.18093933,126.1448234
CF,20,9.494405573,21.23831042,39.69666969,79.81629339,129.0175976
CF,21,10.15997289,22.14566877,40.81763622,81.12069066,130.3680323
CF,22,11.3688227,23.78084921,42.8365667,83.51845427,132.9167069
CF,23,12.53090416,25.31439508,44.69899638,85.66827338,135.144282
CF,24,13.30320869,26.31685169,45.9031159,87.03403894,136.5375626
CF,25,14.68177086,28.09628765,48.04084503,89.50817312,139.1286653
